-----------------------------
1521234698.566,starting test
1521234707.918,E9:0D:4A:6D:31:59,-57
1521234707.956,E9:0D:4A:6D:31:59,-56
1521234707.961,61:0A:EC:E1:29:E0,-103
1521234707.965,C8:2F:80:DA:26:94,-57
1521234707.966,C8:2F:80:DA:26:94,-57
1521234707.967,EC:8F:47:27:6C:DE,-58
1521234707.971,EC:8F:47:27:6C:DE,-57
1521234707.977,F1:4E:55:EA:ED:A4,-56
1521234707.983,F1:4E:55:EA:ED:A4,-56
1521234708.197,1D:35:DA:3F:51:F6,-68
1521234708.202,D9:86:6F:AF:E8:90,-57
1521234708.206,D9:86:6F:AF:E8:90,-57
1521234708.208,E8:FA:0D:3C:01:82,-53
1521234708.211,E8:FA:0D:3C:01:82,-53
1521234708.217,61:0A:EC:E1:29:E0,-101
1521234708.228,CB:3C:59:5F:87:FB,-53
1521234708.243,CB:3C:59:5F:87:FB,-53
1521234708.246,E5:3B:3A:53:DF:6C,-53
1521234708.249,E5:3B:3A:53:DF:6C,-53
1521234708.251,DC:94:C8:A9:D0:B6,-57
1521234708.255,DC:94:C8:A9:D0:B6,-57
1521234708.256,F8:77:B8:B9:2D:74,-101
1521234708.274,C2:57:36:E6:71:6E,-58
1521234708.284,C2:57:36:E6:71:6E,-58
1521234708.497,61:0A:EC:E1:29:E0,-100
1521234708.507,1D:35:DA:3F:51:F6,-63
1521234708.520,C1:96:24:5B:EB:97,-52
1521234708.530,C1:96:24:5B:EB:97,-52
1521234708.532,FD:99:D9:69:5D:BC,-58
1521234708.536,FD:99:D9:69:5D:BC,-58
1521234708.538,E9:0D:4A:6D:31:59,-53
1521234708.562,E9:0D:4A:6D:31:59,-53
1521234708.563,3C:15:C2:C7:F7:27,-103
1521234708.565,75:33:23:D6:E1:5E,-101
1521234708.574,98:9E:63:42:70:FD,-103
1521234708.578,C8:2F:80:DA:26:94,-54
1521234708.583,C8:2F:80:DA:26:94,-53
1521234708.794,F1:4E:55:EA:ED:A4,-56
1521234708.796,F1:4E:55:EA:ED:A4,-56
1521234708.797,EC:8F:47:27:6C:DE,-57
1521234708.798,EC:8F:47:27:6C:DE,-57
1521234708.815,D9:86:6F:AF:E8:90,-58
1521234708.827,D9:86:6F:AF:E8:90,-58
1521234708.829,1D:35:DA:3F:51:F6,-56
1521234708.831,E8:FA:0D:3C:01:82,-56
1521234708.842,E8:FA:0D:3C:01:82,-56
1521234708.845,CB:3C:59:5F:87:FB,-55
1521234708.846,CB:3C:59:5F:87:FB,-55
1521234708.854,E5:3B:3A:53:DF:6C,-55
1521234708.858,E5:3B:3A:53:DF:6C,-55
1521234708.861,DC:94:C8:A9:D0:B6,-58
1521234708.863,DC:94:C8:A9:D0:B6,-58
1521234708.878,C2:57:36:E6:71:6E,-61
1521234708.883,C2:57:36:E6:71:6E,-61
1521234709.096,C2:57:36:E6:71:6E,-58
1521234709.113,C2:57:36:E6:71:6E,-58
1521234709.115,CB:3C:59:5F:87:FB,-53
1521234709.117,CB:3C:59:5F:87:FB,-53
1521234709.127,1D:35:DA:3F:51:F6,-71
1521234709.129,C1:96:24:5B:EB:97,-54
1521234709.141,C1:96:24:5B:EB:97,-54
1521234709.145,FD:99:D9:69:5D:BC,-55
1521234709.146,FD:99:D9:69:5D:BC,-55
1521234709.151,E9:0D:4A:6D:31:59,-54
1521234709.184,E9:0D:4A:6D:31:59,-54
1521234709.419,F1:4E:55:EA:ED:A4,-55
1521234709.419,F1:4E:55:EA:ED:A4,-55
1521234709.420,EC:8F:47:27:6C:DE,-58
1521234709.420,EC:8F:47:27:6C:DE,-58
1521234709.431,D9:86:6F:AF:E8:90,-55
1521234709.436,D9:86:6F:AF:E8:90,-55
1521234709.438,1D:35:DA:3F:51:F6,-63
1521234709.447,E8:FA:0D:3C:01:82,-57
1521234709.450,E8:FA:0D:3C:01:82,-57
1521234709.452,C8:2F:80:DA:26:94,-54
1521234709.454,C8:2F:80:DA:26:94,-53
1521234709.465,E5:3B:3A:53:DF:6C,-53
1521234709.468,E5:3B:3A:53:DF:6C,-53
1521234709.472,4A:53:FE:98:29:2D,-103
1521234709.474,DC:94:C8:A9:D0:B6,-53
1521234709.484,DC:94:C8:A9:D0:B6,-53
1521234709.698,C2:57:36:E6:71:6E,-61
1521234709.715,C2:57:36:E6:71:6E,-61
1521234709.718,3C:15:C2:C7:F7:27,-103
1521234709.730,CB:3C:59:5F:87:FB,-55
1521234709.746,CB:3C:59:5F:87:FB,-55
1521234709.750,E5:3B:3A:53:DF:6C,-55
1521234709.755,E5:3B:3A:53:DF:6C,-55
1521234709.758,1D:35:DA:3F:51:F6,-58
1521234709.761,C1:96:24:5B:EB:97,-55
1521234709.762,C1:96:24:5B:EB:97,-55
1521234709.764,FD:99:D9:69:5D:BC,-57
1521234709.766,FD:99:D9:69:5D:BC,-57
1521234709.771,E9:0D:4A:6D:31:59,-57
1521234709.785,E9:0D:4A:6D:31:59,-57
1521234710.020,F1:4E:55:EA:ED:A4,-55
1521234710.021,F1:4E:55:EA:ED:A4,-55
1521234710.022,EC:8F:47:27:6C:DE,-55
1521234710.027,EC:8F:47:27:6C:DE,-55
1521234710.090,7F:4B:65:4E:9A:05,-103
1521234710.091,D9:86:6F:AF:E8:90,-57
1521234710.301,DC:94:C8:A9:D0:B6,-53
1521234710.309,DC:94:C8:A9:D0:B6,-53
1521234710.311,C2:57:36:E6:71:6E,-57
1521234710.314,C2:57:36:E6:71:6E,-57
1521234710.344,CB:3C:59:5F:87:FB,-51
1521234710.356,CB:3C:59:5F:87:FB,-51
1521234710.358,E5:3B:3A:53:DF:6C,-53
1521234710.360,E5:3B:3A:53:DF:6C,-53
1521234710.371,C1:96:24:5B:EB:97,-52
1521234710.378,C1:96:24:5B:EB:97,-51
1521234710.380,FD:99:D9:69:5D:BC,-58
1521234710.384,FD:99:D9:69:5D:BC,-58
1521234710.386,1D:35:DA:3F:51:F6,-63
1521234710.389,E9:0D:4A:6D:31:59,-53
1521234710.600,E9:0D:4A:6D:31:59,-57
1521234710.601,E9:0D:4A:6D:31:59,-57
1521234710.605,61:B8:47:F5:59:8C,-103
1521234710.632,EC:8F:47:27:6C:DE,-58
1521234710.639,EC:8F:47:27:6C:DE,-57
1521234710.643,F1:4E:55:EA:ED:A4,-56
1521234710.648,F1:4E:55:EA:ED:A4,-56
1521234710.649,C1:96:24:5B:EB:97,-55
1521234710.651,C1:96:24:5B:EB:97,-55
1521234710.655,FD:99:D9:69:5D:BC,-57
1521234710.656,FD:99:D9:69:5D:BC,-57
1521234710.658,D9:86:6F:AF:E8:90,-58
1521234710.672,D9:86:6F:AF:E8:90,-58
1521234710.674,61:0A:EC:E1:29:E0,-100
1521234710.676,C8:2F:80:DA:26:94,-57
1521234710.678,C8:2F:80:DA:26:94,-57
1521234710.683,E8:FA:0D:3C:01:82,-57
1521234710.686,E8:FA:0D:3C:01:82,-56
1521234710.899,1D:35:DA:3F:51:F6,-68
1521234710.907,DC:94:C8:A9:D0:B6,-57
1521234710.914,DC:94:C8:A9:D0:B6,-57
1521234710.921,C2:57:36:E6:71:6E,-58
1521234710.923,C2:57:36:E6:71:6E,-58
1521234710.957,CB:3C:59:5F:87:FB,-53
1521234710.969,CB:3C:59:5F:87:FB,-53
1521234710.970,E5:3B:3A:53:DF:6C,-53
1521234710.972,E5:3B:3A:53:DF:6C,-53
1521234711.191,1D:35:DA:3F:51:F6,-63
1521234711.242,E9:0D:4A:6D:31:59,-53
1521234711.252,E9:0D:4A:6D:31:59,-53
1521234711.259,F1:4E:55:EA:ED:A4,-55
1521234711.260,F1:4E:55:EA:ED:A4,-55
1521234711.262,FD:99:D9:69:5D:BC,-58
1521234711.264,FD:99:D9:69:5D:BC,-58
1521234711.266,C1:96:24:5B:EB:97,-52
1521234711.268,C1:96:24:5B:EB:97,-52
1521234711.280,D9:86:6F:AF:E8:90,-55
1521234711.493,E8:FA:0D:3C:01:82,-57
1521234711.495,E8:FA:0D:3C:01:82,-57
1521234711.498,C8:2F:80:DA:26:94,-57
1521234711.498,C8:2F:80:DA:26:94,-57
1521234711.508,1D:35:DA:3F:51:F6,-58
1521234711.534,DC:94:C8:A9:D0:B6,-59
1521234711.538,DC:94:C8:A9:D0:B6,-59
1521234711.540,C2:57:36:E6:71:6E,-61
1521234711.542,C2:57:36:E6:71:6E,-61
1521234711.565,CB:3C:59:5F:87:FB,-55
1521234711.579,CB:3C:59:5F:87:FB,-55
1521234711.583,E5:3B:3A:53:DF:6C,-55
1521234711.585,E5:3B:3A:53:DF:6C,-54
1521234711.649,E9:0D:4A:6D:31:59,-54
1521234711.658,E9:0D:4A:6D:31:59,-54
1521234711.660,FD:99:D9:69:5D:BC,-55
1521234711.662,FD:99:D9:69:5D:BC,-55
1521234711.666,C1:96:24:5B:EB:97,-54
1521234711.673,C1:96:24:5B:EB:97,-54
1521234711.674,F1:4E:55:EA:ED:A4,-54
1521234711.674,F1:4E:55:EA:ED:A4,-55
1521234711.682,D9:86:6F:AF:E8:90,-56
1521234711.688,D9:86:6F:AF:E8:90,-57
1521234711.692,EC:8F:47:27:6C:DE,-55
1521234711.696,EC:8F:47:27:6C:DE,-55
1521234711.947,1D:35:DA:3F:51:F6,-64
1521234711.948,DC:94:C8:A9:D0:B6,-53
1521234711.974,DC:94:C8:A9:D0:B6,-53
1521234711.978,E8:FA:0D:3C:01:82,-57
1521234711.980,E8:FA:0D:3C:01:82,-57
1521234711.982,CB:3C:59:5F:87:FB,-51
1521234711.984,CB:3C:59:5F:87:FB,-51
1521234711.987,E5:3B:3A:53:DF:6C,-53
