-----------------------------
1521232630.729,starting test
1521232637.181,3C:15:C2:C7:F7:27,-94
1521232637.183,DC:94:C8:A9:D0:B6,-53
1521232637.193,DC:94:C8:A9:D0:B6,-53
1521232637.197,61:B8:47:F5:59:8C,-98
1521232637.199,61:B8:47:F5:59:8C,-99
1521232637.202,75:33:23:D6:E1:5E,-94
1521232637.203,C2:57:36:E6:71:6E,-57
1521232637.218,C2:57:36:E6:71:6E,-56
1521232637.222,98:9E:63:42:70:FD,-98
1521232637.224,61:B8:47:F5:59:8C,-97
1521232637.230,E9:0D:4A:6D:31:59,-53
1521232637.236,E9:0D:4A:6D:31:59,-53
1521232637.238,C1:96:24:5B:EB:97,-50
1521232637.240,C1:96:24:5B:EB:97,-50
1521232637.455,E5:3B:3A:53:DF:6C,-53
1521232637.459,E5:3B:3A:53:DF:6C,-53
1521232637.460,26:94:08:39:24:90,-55
1521232637.471,C8:2F:80:DA:26:94,-56
1521232637.494,C8:2F:80:DA:26:94,-56
1521232637.496,F1:4E:55:EA:ED:A4,-55
1521232637.498,F1:4E:55:EA:ED:A4,-55
1521232637.514,FD:99:D9:69:5D:BC,-55
1521232637.533,FD:99:D9:69:5D:BC,-55
1521232637.535,D9:86:6F:AF:E8:90,-54
1521232637.539,D9:86:6F:AF:E8:90,-54
1521232637.541,46:C9:7B:F5:66:DD,-103
1521232637.757,EC:8F:47:27:6C:DE,-53
1521232637.769,EC:8F:47:27:6C:DE,-53
1521232637.770,CB:3C:59:5F:87:FB,-51
1521232637.773,CB:3C:59:5F:87:FB,-51
1521232637.774,26:94:08:39:24:90,-64
1521232637.776,E8:FA:0D:3C:01:82,-50
1521232637.779,E8:FA:0D:3C:01:82,-50
1521232637.797,DC:94:C8:A9:D0:B6,-56
1521232637.807,DC:94:C8:A9:D0:B6,-56
1521232637.809,F8:77:B8:B9:2D:74,-103
1521232637.813,46:C9:7B:F5:66:DD,-98
1521232637.815,C2:57:36:E6:71:6E,-56
1521232637.842,C2:57:36:E6:71:6E,-56
1521232637.847,E9:0D:4A:6D:31:59,-54
1521232637.848,E9:0D:4A:6D:31:59,-54
1521232638.350,75:33:23:D6:E1:5E,-93
1521232638.350,75:33:23:D6:E1:5E,-93
1521232638.356,3C:15:C2:C7:F7:27,-93
1521232638.357,3C:15:C2:C7:F7:27,-94
1521232638.359,D9:86:6F:AF:E8:90,-53
1521232638.366,D9:86:6F:AF:E8:90,-53
1521232638.366,EC:8F:47:27:6C:DE,-53
1521232638.368,EC:8F:47:27:6C:DE,-53
1521232638.380,E8:FA:0D:3C:01:82,-53
