-----------------------------
1520460139.607,starting test
1520460150.151,E5:3B:3A:53:DF:6C,-58
1520460150.158,E5:3B:3A:53:DF:6C,-58
1520460150.162,C8:2F:80:DA:26:94,-57
1520460150.164,C8:2F:80:DA:26:94,-57
1520460150.166,F1:4E:55:EA:ED:A4,-55
1520460150.172,F1:4E:55:EA:ED:A4,-55
1520460150.174,C2:57:36:E6:71:6E,-58
1520460150.176,C2:57:36:E6:71:6E,-58
1520460150.375,F8:77:B8:B9:2D:74,-92
1520460150.392,68:64:4B:39:4B:0F,-95
1520460150.395,EC:8F:47:27:6C:DE,-57
1520460150.419,EC:8F:47:27:6C:DE,-57
1520460150.423,58:CF:4D:46:6B:20,-103
1520460150.448,EC:8F:47:27:6C:DE,-56
1520460150.448,EC:8F:47:27:6C:DE,-57
1520460150.450,CB:3C:59:5F:87:FB,-55
1520460150.451,CB:3C:59:5F:87:FB,-55
1520460150.464,E9:0D:4A:6D:31:59,-56
1520460150.467,E9:0D:4A:6D:31:59,-56
1520460150.687,D9:86:6F:AF:E8:90,-53
1520460150.687,D9:86:6F:AF:E8:90,-53
1520460150.689,1F:9C:A1:B9:1A:73,-56
1520460150.701,C1:96:24:5B:EB:97,-50
1520460150.739,DC:94:C8:A9:D0:B6,-58
1520460150.746,FD:99:D9:69:5D:BC,-53
1520460150.753,68:64:4B:39:4B:0F,-102
1520460150.760,68:64:4B:39:4B:0F,-101
1520460150.763,E5:3B:3A:53:DF:6C,-55
1520460150.978,F1:4E:55:EA:ED:A4,-55
1520460150.982,F1:4E:55:EA:ED:A4,-55
1520460150.985,C2:57:36:E6:71:6E,-58
1520460150.987,C2:57:36:E6:71:6E,-58
1520460150.991,F8:77:B8:B9:2D:74,-97
1520460151.008,C8:2F:80:DA:26:94,-57
1520460151.063,C8:2F:80:DA:26:94,-58
1520460151.065,CB:3C:59:5F:87:FB,-54
1520460151.067,CB:3C:59:5F:87:FB,-54
1520460151.070,EC:8F:47:27:6C:DE,-56
1520460151.073,EC:8F:47:27:6C:DE,-56
1520460151.292,E9:0D:4A:6D:31:59,-57
1520460151.297,E9:0D:4A:6D:31:59,-57
1520460151.299,58:CF:4D:46:6B:20,-103
1520460151.300,F8:77:B8:B9:2D:74,-92
1520460151.352,E8:FA:0D:3C:01:82,-55
1520460151.356,E8:FA:0D:3C:01:82,-55
1520460151.362,FD:99:D9:69:5D:BC,-57
1520460151.365,FD:99:D9:69:5D:BC,-57
1520460151.594,E5:3B:3A:53:DF:6C,-55
1520460151.600,E5:3B:3A:53:DF:6C,-55
1520460151.601,C2:57:36:E6:71:6E,-54
1520460151.603,C2:57:36:E6:71:6E,-54
1520460151.607,F1:4E:55:EA:ED:A4,-55
1520460151.671,F1:4E:55:EA:ED:A4,-55
1520460151.673,CB:3C:59:5F:87:FB,-53
1520460151.872,CB:3C:59:5F:87:FB,-54
1520460151.889,CB:3C:59:5F:87:FB,-54
