-----------------------------
1520459748.710,starting test
1520459759.578,E9:0D:4A:6D:31:59,-63
1520459759.582,E9:0D:4A:6D:31:59,-63
1520459759.586,D9:86:6F:AF:E8:90,-68
1520459759.589,D9:86:6F:AF:E8:90,-68
1520459759.602,F8:77:B8:B9:2D:74,-98
1520459759.605,C1:96:24:5B:EB:97,-62
1520459759.613,C1:96:24:5B:EB:97,-62
1520459759.615,C8:2F:80:DA:26:94,-65
1520459759.617,C8:2F:80:DA:26:94,-65
1520459759.837,DC:94:C8:A9:D0:B6,-61
1520459759.851,DC:94:C8:A9:D0:B6,-61
1520459759.853,E8:FA:0D:3C:01:82,-63
1520459759.855,E8:FA:0D:3C:01:82,-63
1520459759.857,FD:99:D9:69:5D:BC,-70
1520459759.859,FD:99:D9:69:5D:BC,-69
1520459759.867,68:64:4B:39:4B:0F,-98
1520459759.875,1F:9C:A1:B9:1A:73,-56
1520459759.878,F1:4E:55:EA:ED:A4,-63
1520459759.892,F1:4E:55:EA:ED:A4,-63
1520459759.895,E5:3B:3A:53:DF:6C,-63
1520459759.899,E5:3B:3A:53:DF:6C,-63
1520459759.900,C2:57:36:E6:71:6E,-65
1520459759.902,C2:57:36:E6:71:6E,-65
1520459759.911,EC:8F:47:27:6C:DE,-71
1520459759.916,EC:8F:47:27:6C:DE,-71
1520459759.918,F8:77:B8:B9:2D:74,-94
1520459760.159,78:4F:43:78:44:5D,-101
1520459760.169,CB:3C:59:5F:87:FB,-62
1520459760.186,CB:3C:59:5F:87:FB,-62
1520459760.191,EC:8F:47:27:6C:DE,-65
1520459760.192,EC:8F:47:27:6C:DE,-65
1520459760.193,E9:0D:4A:6D:31:59,-60
1520459760.199,E9:0D:4A:6D:31:59,-60
1520459760.201,1F:9C:A1:B9:1A:73,-58
1520459760.203,D9:86:6F:AF:E8:90,-64
1520459760.219,D9:86:6F:AF:E8:90,-64
1520459760.220,C8:2F:80:DA:26:94,-63
1520459760.225,C8:2F:80:DA:26:94,-63
1520459760.463,FD:99:D9:69:5D:BC,-72
1520459760.465,FD:99:D9:69:5D:BC,-72
1520459760.467,E8:FA:0D:3C:01:82,-66
1520459760.469,E8:FA:0D:3C:01:82,-66
1520459760.470,DC:94:C8:A9:D0:B6,-65
1520459760.500,DC:94:C8:A9:D0:B6,-65
1520459760.502,F1:4E:55:EA:ED:A4,-66
1520459760.506,F1:4E:55:EA:ED:A4,-66
1520459760.508,1F:9C:A1:B9:1A:73,-69
1520459760.509,C2:57:36:E6:71:6E,-70
1520459760.515,C2:57:36:E6:71:6E,-70
1520459760.517,E5:3B:3A:53:DF:6C,-68
1520459760.519,E5:3B:3A:53:DF:6C,-68
1520459760.529,C8:2F:80:DA:26:94,-65
1520459760.530,C8:2F:80:DA:26:94,-65
1520459760.533,F8:77:B8:B9:2D:74,-98
1520459760.792,CB:3C:59:5F:87:FB,-64
1520459760.792,CB:3C:59:5F:87:FB,-64
1520459760.796,EC:8F:47:27:6C:DE,-71
1520459760.798,EC:8F:47:27:6C:DE,-71
1520459760.800,E9:0D:4A:6D:31:59,-62
1520459760.808,E9:0D:4A:6D:31:59,-62
1520459760.811,D9:86:6F:AF:E8:90,-67
1520459760.813,D9:86:6F:AF:E8:90,-66
1520459760.817,1F:9C:A1:B9:1A:73,-55
1520459760.836,F8:77:B8:B9:2D:74,-93
1520459761.071,78:4F:43:78:44:5D,-101
1520459761.079,DC:94:C8:A9:D0:B6,-60
1520459761.115,DC:94:C8:A9:D0:B6,-60
1520459761.118,F1:4E:55:EA:ED:A4,-60
1520459761.120,F1:4E:55:EA:ED:A4,-60
1520459761.123,C2:57:36:E6:71:6E,-65
1520459761.130,C2:57:36:E6:71:6E,-65
1520459761.135,1F:9C:A1:B9:1A:73,-58
1520459761.139,E5:3B:3A:53:DF:6C,-59
1520459761.143,E5:3B:3A:53:DF:6C,-59
1520459761.144,C8:2F:80:DA:26:94,-63
1520459761.146,C8:2F:80:DA:26:94,-64
1520459761.422,EC:8F:47:27:6C:DE,-68
1520459761.423,EC:8F:47:27:6C:DE,-68
1520459761.424,D9:86:6F:AF:E8:90,-68
